infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,vu,N_mterm,vstar,remain,variance_new,Sample_new,variance_new_thr,Sample_new_thr
12501.651,724,8.037221355490705e-10,0.1256147648623256,0.0301166260824327,4706966.17209244,27133632667,1.8829049164213618e-10,1.923731974920572,0.030116625467001,1.923731974920572,8.037221403607967e-10,724,0.03011662608243265,27133631509
9816.979,724,1.3033762689670462e-09,0.1256103644844202,0.030115336219567,2902307.222540297,16730551099,3.0531001468204e-10,1.9237340996310992,0.0301153352215008,1.9237340996310992,1.3033761579989626e-09,724,0.030115336219566944,16730553314
7699.5024,723,2.118465722491287e-09,0.1255876033716975,0.0301136676533368,1785208.657927644,10290959014,4.95945119605854e-10,1.923736484077521,0.0301136660308162,1.923736484077521,2.118465901778221e-09,723,0.030113667653336982,10290958682
6041.4893,723,3.439968402134689e-09,0.1255574496816802,0.030111539331334,1099058.9570781395,6335601517,8.046787320410965e-10,1.9237398055051889,0.0301115366960443,1.9237398055051889,3.4399681248641735e-09,723,0.030111539331333693,6335601355
4763.548,725,5.544691532387316e-09,0.1258167546466657,0.0301088607853733,683211.8843756302,3938422250,1.3057625612613583e-09,1.9237437969569733,0.0301088565464444,1.9237437969569733,5.5446915892039715e-09,725,0.030108860785373427,3938422276
3760.0215,727,8.922185205621533e-09,0.1261397291135041,0.0301054317126336,425623.42224010936,2453535710,2.1186016487502403e-09,1.9237488975244212,0.0301054249090501,1.9237488975244212,8.922185335991274e-09,727,0.030105431712633787,2453535691
2963.1255,728,1.4392415312826508e-08,0.1263670201333525,0.0301010724683534,264290.7912234851,1523522579,3.437228630384963e-09,1.9237552874782275,0.0301010615131667,1.9237552874782275,1.439241418582232e-08,728,0.030101072468352252,1523522685
2325.6467,728,2.3361575430664437e-08,0.1263541884732514,0.030095507893824,162775.55800552113,938330983,5.577379882513418e-09,1.923763600695425,0.0300954901096285,1.923763600695425,2.336157547286859e-08,728,0.03009550789382409,938330904
1828.5793,728,3.781591087470962e-08,0.1264451619264681,0.0300884426366853,100606.80579441806,579954903,9.048790756629936e-09,1.923774014795596,0.0300884138695652,1.923774014795596,3.781591537169504e-08,728,0.030088442636689815,579954832
1434.4406,728,6.144021024688474e-08,0.1264205763134882,0.0300794178213724,61891.99745365328,356780708,1.4692312570707922e-08,1.9237878259632684,0.0300793710734747,1.9237878259632684,6.144020494653401e-08,728,0.030079417821367076,356780761
1125.8365,728,9.972310851292507e-08,0.1263998298109682,0.0300679517108657,38111.36692078995,219695615,2.3833846795602858e-08,1.9238048048424583,0.0300678758216039,1.9238048048424583,9.97231126822977e-08,728,0.030067951710869786,219695599
884.08154,728,1.6174236331487744e-07,0.1264178681865435,0.0300533565471151,23489.71035584545,135408063,3.867263496004626e-08,1.923826599744049,0.0300532334773867,1.923826599744049,1.6174237059624805e-07,728,0.030053356547122337,135408052
694.44995,728,2.62187877046549e-07,0.1264429128434647,0.0300348014720789,14484.604809285673,83497508,6.272586847257248e-08,1.9238538142802128,0.0300346020100703,1.9238538142802128,2.621878622467095e-07,728,0.03003480147206407,83497511
544.9448,728,4.258271662988889e-07,0.1264557020682749,0.0300111186630137,8912.24745797908,51375268,1.0190188579170392e-07,1.923888469597899,0.0300107947377332,1.923888469597899,4.258271701473943e-07,728,0.030011118663017557,51375264
