infid^{-1},7_Character,7_Cross_Character,Sample#,Variance,Variance(amp),7_Character(amp),7_Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,N_M,partone_crm,partone_thr,parttwo
12501.651,1.0153421030809935e-07,9.527019748710134e-08,1407,1.5624538425920539e-09,3.9071666858866547,253.90259422671068,238.23842447845882,0.2341071797397801,585422588.9250598,210919317537,20005283840,1.4764894826515474e-09,0.23410717965381575,1.7197414207337576
9811.237,1.6478609397535042e-07,1.5461889995546398e-07,1407,2.535820283404504e-09,3.9055843792685163,253.79795199316976,238.1387846598487,0.23409699297780312,360548247.4413966,129900334781,12321328128,2.3962450440358697e-09,0.23409699283822788,1.7197523228050826
7706.576,2.6725487243964775e-07,2.5076038613698913e-07,1408,4.112567286777504e-09,3.9080124001239964,253.96188868342904,238.28782124343465,0.2340840301454409,222440930.12668917,80142259732,7602087936,3.886344420813919e-09,0.23408402991921803,1.7197661201891195
6043.6655,4.3367735999432446e-07,4.069030387744249e-07,1405,6.673763382703468e-09,3.900242906923252,253.44726059584679,237.7999637953276,0.23406751138719498,136792406.1250237,49284331506,4675314688,6.305919969641517e-09,0.23406751101935155,1.7197837119725918
4763.548,7.037571534674299e-07,6.603279661647038e-07,1416,1.0828060191516755e-08,3.9312596834870486,255.50764176206266,239.74014415768343,0.2340464614121448,84973430.2856224,30614701693,2904497920,1.0235941952821859e-08,0.23404646082002656,1.7198061926833914
3760.0215,1.1422196972204152e-06,1.0717469813706183e-06,1431,1.756984458921535e-08,3.974372440784774,258.3748799201576,242.4336564062849,0.23401961625858755,52936217.43427699,19072155850,1809633536,1.661946724876952e-08,0.23401961530821022,1.7198347071252615
2963.1255,1.8544250109577705e-06,1.740031152014771e-06,1443,2.85199025487741e-08,4.006527072764868,260.5129522482873,244.44269772938213,0.2339853992879092,32870688.645428136,11842835154,1123854336,2.6989569928129374e-08,0.2339853977575766,1.7198709512338175
2325.6467,3.0071622988390323e-06,2.821611535419107e-06,1441,4.6249115363810074e-08,4.002311886366684,260.2341973073733,244.1769815072828,0.23394194722483835,20244898.28037661,7293944937,692305024,4.376478102209576e-08,0.233941944740504,1.7199171460645497
1827.7826,4.880487260345272e-06,4.5791914556574045e-06,1445,7.505490463298727e-08,4.011881691815011,260.87485664874254,244.76980490617242,0.23388650653224224,12501847.788730288,4504235493,427620992,7.103270750437879e-08,0.2338865025100451,1.719975926155116
1434.3179,7.918780067634786e-06,7.430006891666682e-06,1444,1.2178282265162635e-07,4.008637950390865,260.65681192761895,244.5682153615527,0.23381593914663468,7696351.806122009,2772884581,263330272,1.1525090601869433e-07,0.23381593261471803,1.7200513836313147
