infid^{-1},Sample#_4,Sample#_thrifty_4,vu,N_mterm,vstar,remain,1_Character,1_Cross_Character,Sample#,Sample#_thrifty,N_m,PartOne_CRM,PartTwo,PartOne_THR
10472.669,1825191,19042157665,2.89E-06,1.923730496,0.030118581,1.923730496,1.06E-06,8.62E-07,9512,9.21434E+11,2193536000,1.48E-08,0.496435824,1.457413253
9238.555,1611468,14818490589,3.27E-06,1.923731356,0.030118198,1.923731356,1.33E-06,1.10E-06,9377,7.17046E+11,1707018000,1.88E-08,0.496472928,1.457376626
8966.979,1565834,13960042580,3.38E-06,1.92373133,0.030118105,1.92373133,1.52E-06,1.19E-06,9839,6.75503E+11,1608133900,2.09E-08,0.496485536,1.457363899
7928.741,1382143,10914318967,3.81E-06,1.923732366,0.030117664,1.923732366,1.99E-06,1.47E-06,9812,5.28128E+11,1257298700,2.67E-08,0.496500519,1.457349512
7906.3223,1379646,10852681430,3.83E-06,1.923732377,0.030117654,1.923732377,2.24E-06,1.53E-06,10636,5.25135E+11,1250198700,2.91E-08,0.496530109,1.457319922
7865.549,1371206,10741026282,3.84E-06,1.923732519,0.030117631,1.923732519,1.90E-06,1.52E-06,9561,5.19733E+11,1237337200,2.64E-08,0.496529288,1.457320862
7456.5405,1299248,9652934099,4.05E-06,1.923732854,0.030117415,1.923732854,2.13E-06,1.67E-06,9527,4.6708E+11,1111999900,2.93E-08,0.496546787,1.457303482
7319.9023,1277572,9302382117,4.13E-06,1.923732922,0.030117347,1.923732922,2.20E-06,1.77E-06,9601,4.50116E+11,1071619300,3.06E-08,0.496558201,1.457292069
7281.778,1270534,9205727643,4.15E-06,1.923732945,0.030117325,1.923732945,2.25E-06,1.80E-06,9707,4.45438E+11,1060485760,3.13E-08,0.496562141,1.457288128
7102.97,1239150,8759145948,4.26E-06,1.923733289,0.030117219,1.923733289,2.10E-06,1.70E-06,8664,4.23833E+11,1009043800,2.93E-08,0.496552484,1.457298024
6781.413,1184255,7983978062,4.47E-06,1.923733723,0.030117023,1.923733723,2.21E-06,1.77E-06,8298,3.86325E+11,919751300,3.08E-08,0.496561079,1.457289668
6657.6255,1161102,7695136668,4.54E-06,1.923733814,0.030116932,1.923733814,2.15E-06,1.64E-06,7602,3.72352E+11,886479500,2.92E-08,0.49655266,1.457298087
6639.183,1156868,7652560135,4.55E-06,1.923733707,0.030116919,1.923733707,2.38E-06,1.99E-06,8698,3.70284E+11,881575040,3.37E-08,0.496584168,1.457266459
