1/1-phi0,m,r,infid^{-1},Character,Cross_Character,Sample#,Variance,Variance(amp),Character(amp),Cross_Character(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
485143168.9,0.006737947,485209251.3,11008.672,4.85E-08,1.63E-08,306,4.39E-10,0.8516182,5.87919,1.978817,0.102069949,12369944.68,2228356352
438754130.4,0.006909387,438816974.3,10472.669,5.43E-08,1.81E-08,310,4.91E-10,0.861571,5.9512677,1.9869792,0.096351843,10567561.71,1903670054
396800730.2,0.007085189,396860494.3,9962.718,5.95E-08,2.03E-08,309,5.41E-10,0.8595282,5.9034357,2.018342,0.092072717,9138745.404,1646279098
358858842.9,0.007265464,358915678.1,9478.653,6.49E-08,2.16E-08,303,5.85E-10,0.8412893,5.829639,1.9450969,0.091605776,8230308.578,1482630754
324544896.6,0.007450326,324598946.5,9010.32,7.20E-08,2.33E-08,301,6.44E-10,0.8361136,5.842695,1.8903136,0.090809614,7372457.351,1328095040
293511995.7,0.007639892,293563396.8,8568.548,8.14E-08,2.68E-08,310,7.34E-10,0.86238164,5.9766445,1.9681374,0.090172266,6620448.293,1192626030
265446413.7,0.007834281,265495295.8,8144.28,8.98E-08,2.89E-08,307,8.04E-10,0.853326,5.9551964,1.9165798,0.09162229,6077241.513,1094771244
240064422.2,0.008033616,240110908.7,7749.2915,9.79E-08,3.35E-08,308,8.91E-10,0.8562355,5.8814526,2.01378,0.0911209,5471948.4,985732054
217109421.8,0.008238022,217153630.2,7364.8887,1.12E-07,3.88E-08,320,1.02E-09,0.8889217,6.0549817,2.1037667,0.096493417,5233955.622,942859370.5
196349348.7,0.00844763,196391390.6,7005.1006,1.19E-07,3.90E-08,301,1.07E-09,0.8369651,5.825988,1.9138858,0.092940968,4560746.67,821585631.5
177574328.5,0.008662571,177614310.1,6668.21,1.36E-07,4.43E-08,314,1.23E-09,0.8725533,6.0553694,1.9714173,0.091776754,4080855.43,735136684.5
160594554.4,0.008882981,160632576.7,6331.025,1.48E-07,4.57E-08,303,1.31E-09,0.8424372,5.9504414,1.833549,0.095706401,3836092.123,691044339
145238368.6,0.009108999,145274527.6,6028.4644,1.62E-07,5.57E-08,309,1.48E-09,0.8592798,5.8937297,2.026046,0.093504405,3398172.724,612156316.5
131350526.6,0.009340768,131384913.5,5731.8813,1.80E-07,5.91E-08,306,1.62E-09,0.8496305,5.9000325,1.9419492,0.094064743,3090446.437,556721644.5
118790628.1,0.009578434,118823329.9,5448.917,1.94E-07,6.27E-08,296,1.73E-09,0.822191,5.7587056,1.8620594,0.099582357,2956669.744,532622738
107431697.6,0.009822147,107462796.9,5182.952,2.10E-07,6.83E-08,290,1.87E-09,0.8055824,5.650999,1.8358676,0.089087102,2393146.174,431108029.5
97158900.67,0.010072061,97188475.94,4928.677,2.41E-07,7.82E-08,302,2.16E-09,0.83830094,5.851027,1.8996172,0.090749064,2204463.141,397118141.5
87868383.1,0.010328334,87896509.04,4688.9927,2.83E-07,1.00E-07,332,2.62E-09,0.92303085,6.22628,2.2074566,0.094532709,2078457.864,374419199
79466220.95,0.010591127,79492968.6,4457.2837,3.05E-07,1.03E-07,317,2.78E-09,0.88241595,6.0564413,2.0498576,0.100275195,1992205.237,358881410.5
71867471.09,0.010860607,71892908,4238.8115,3.26E-07,1.09E-07,304,2.94E-09,0.8461684,5.8631186,1.9509523,0.095964271,1724240.251,310609450
64995312.48,0.011136944,65019502.88,4032.9846,3.69E-07,1.23E-07,313,3.34E-09,0.8697729,6.005938,1.9984338,0.089056995,1448508.891,260938433.5
58780269.52,0.011420311,58803274.51,3833.916,4.13E-07,1.38E-07,317,3.75E-09,0.88092375,6.0676885,2.026581,0.098497691,1447808.805,260812318
53159509.73,0.011710889,53181387.4,3645.6357,4.41E-07,1.41E-07,301,3.93E-09,0.83574444,5.861723,1.8683096,0.090068337,1197067.68,215643112
48076208.55,0.01200886,48097014.15,3468.5168,4.83E-07,1.54E-07,298,4.30E-09,0.82776535,5.812629,1.8530766,0.096799975,1164562.716,209787577
43478974.84,0.012314413,43498760.92,3297.4087,5.64E-07,1.89E-07,321,5.13E-09,0.89226496,6.1355224,2.0501797,0.095405024,1037329.746,186867475
39321331.4,0.01262774,39340147.92,3135.9282,5.81E-07,1.98E-07,297,5.26E-09,0.82709473,5.7177544,1.9425442,0.090272432,887743.2284,159920542
35561245.09,0.012949039,35579139.56,2982.6162,6.45E-07,2.10E-07,295,5.77E-09,0.8208735,5.740276,1.8698671,0.09380669,834504.2678,150329927
32160701.87,0.013278514,32177719.49,2836.3848,7.05E-07,2.32E-07,292,6.31E-09,0.8119529,5.671037,1.8671881,0.09350131,752225.415,135507985
