h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
0.2,1,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
0.4,2,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
0.6000000000000001,3,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
0.8,4,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
1.0,5,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
1.2000000000000002,6,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
1.4000000000000001,7,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
1.6,8,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
1.8,9,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
2.0,10,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
2.2,11,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
2.4000000000000004,12,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
2.6,13,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
2.8000000000000003,14,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
3.0,15,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
3.2,16,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
3.4000000000000004,17,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
3.6,18,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
3.8000000000000003,19,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
4.0,20,42,9.094947017716876e-17,8.913957572065839e-13,1.9998999999990947
