h,index,nqubit,SRE,val
0,0,6,0.432987502,0.072164584
0.2,1,6,0.111030355,0.018505059
0.4,2,6,0.385484453,0.064247409
0.6,3,6,0.902427239,0.15040454
0.8,4,6,1.72279418,0.287132363
1,5,6,2.271071725,0.378511954
1.2,6,6,1.867641044,0.311273507
1.4,7,6,1.342406499,0.223734417
1.6,8,6,0.989334104,0.164889017
1.8,9,6,0.76117938,0.12686323
2,10,6,0.607214221,0.10120237
2.2,11,6,0.498245132,0.083040855
2.4,12,6,0.417982045,0.069663674
2.6,13,6,0.356940962,0.05949016
2.8,14,6,0.309308745,0.051551458
3,15,6,0.271350729,0.045225121
3.2,16,6,0.240569104,0.040094851
3.4,17,6,0.215235783,0.03587263
3.6,18,6,0.194120606,0.032353434
3.8,19,6,0.176326403,0.029387734
4,20,6,0.161185116,0.026864186
