h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,3,2.269529894911819,2.269529894911819,2.374804258458952
0.2,1,3,1.569912485791574,1.569912485791574,1.9023313533063284
0.4,2,3,1.3960722812251904,1.3960722812251904,2.175552876361918
0.6000000000000001,3,3,1.1739236149479946,1.1739236149479946,2.385850632409964
0.8,4,3,1.0408206963701805,1.0408206963701803,2.502430551455443
1.0,5,3,1.060185185185186,1.060185185185186,2.541666666666665
1.2000000000000002,6,3,1.188573175011474,1.188573175011474,2.538599268733748
1.4000000000000001,7,3,1.3568235233047303,1.3568235233047305,2.519502993420343
1.6,8,3,1.5209808413161177,1.5209808413161177,2.4974489795918364
1.8,9,3,1.6634516277684739,1.6634516277684739,2.4773672839171104
2.0,10,3,1.7809887733084953,1.7809887733084953,2.4605232868024003
2.2,11,3,1.8760127465510144,1.8760127465510144,2.446825231982457
2.4000000000000004,12,3,1.9524350528533523,1.9524350528533525,2.4357890138999645
2.6,13,3,2.0140408556523086,2.0140408556523086,2.4268913616794974
2.8000000000000003,14,3,2.064006317820334,2.064006317820334,2.4196788214799874
3.0,15,3,2.1048499035038275,2.104849903503827,2.4137876315985274
3.2,16,3,2.1385222115298954,2.1385222115298954,2.4089348513663102
3.4000000000000004,17,3,2.1665219130414313,2.1665219130414313,2.404902830819591
3.6,18,3,2.190000271232563,2.1900002712325635,2.401524394521557
3.8000000000000003,19,3,2.2098452403188684,2.209845240318868,2.3986706938217663
4.0,20,3,2.2267459800317213,2.2267459800317213,2.396241821188227
