h,index,nqubit,V_star
0.0,0,4,2.7226910617885682
0.2,1,4,2.784875943593306
0.4,2,4,2.417340386982878
0.6000000000000001,3,4,1.8827350489022157
0.8,4,4,1.4685563830045898
1.0,5,4,1.4430616852394555
1.2000000000000002,6,4,1.7379471633929648
1.4000000000000001,7,4,2.1339367989732594
1.6,8,4,2.4989393045031454
1.8,9,4,2.7952641187974985
2.0,10,4,3.0258080155980274
2.2,11,4,3.2036756287554122
2.4000000000000004,12,4,3.341703619983555
2.6,13,4,3.450046253892525
2.8000000000000003,14,4,3.536219049461611
3.0,15,4,3.6056763497966435
3.2,16,4,3.6623738363342397
3.4000000000000004,17,4,3.709202149687211
3.6,18,4,3.748297373432916
3.8000000000000003,19,4,3.7812578780011883
4.0,20,4,3.809295023755731
