h,index,nqubit,V_starDelta,V_starrho,VarianceStd
0.0,0,3,0.00022695298949118218,2.2243662500030736,2.3452373854228217
0.2,1,3,0.00015699124857915893,1.538671227324322,1.6579969361884448
0.4,2,3,0.00013960722812252053,1.3682904428288074,1.7311762603407272
0.6000000000000001,3,3,0.00011739236149480034,1.1505625350105293,1.852223246238222
0.8,4,3,0.00010408206963701879,1.0201083645124136,1.9864927959544127
1.0,5,3,0.00010601851851851987,1.0390875,2.0999234374999998
1.2000000000000002,6,3,0.00011885731750114735,1.1649205688287463,2.1814928922718586
1.4000000000000001,7,3,0.0001356823523304727,1.3298227351909664,2.2360897679015843
1.6,8,3,0.00015209808413160954,1.4907133225739289,2.272080871902332
1.8,9,3,0.00016634516277684564,1.6303489403758813,2.2961354566874252
2.0,10,3,0.00017809887733085053,1.745547096719656,2.312631693729942
2.2,11,3,0.0001876012746551024,1.8386800928946494,2.3242769992231667
2.4000000000000004,12,3,0.0001952435052853369,1.913581595301571,2.332732826047175
2.6,13,3,0.00020140408556523106,1.973961442624827,2.339033451227645
2.8000000000000003,14,3,0.00020640063178203522,2.0229325920957093,2.3438377918356483
3.0,15,3,0.00021048499035038377,2.062963390424103,2.347576632506592
3.2,16,3,0.00021385222115298877,2.0959656195204515,2.3505389700576815
3.4000000000000004,17,3,0.00021665219130414525,2.123408126971907,2.3529234843973788
3.6,18,3,0.00021900002712325613,2.1464192658350365,2.354869894625543
3.8000000000000003,19,3,0.00022098452403188724,2.165869320036522,2.3564785145847726
4.0,20,3,0.00022267459800317445,2.1824337350290883,2.3578227376736005
