J,h,val,err,,,
1.2,0.833333333,0.195246262,0.000744298,,,
1.199910059,0.833395797,0.195257228,0.000741893,,,
1.199820117,0.833458271,0.195272414,0.000740752,,,
1.199730176,0.833520753,0.195289551,0.000739389,,,
1.199640235,0.833583245,0.195310582,0.000737901,,,
1.199550293,0.833645747,0.195327816,0.000736567,,,
1.199460352,0.833708258,0.195349169,0.000734424,,,
1.19937041,0.833770778,0.195371584,0.000733164,,,
1.199280469,0.833833307,0.195388684,0.000731578,,,
1.199190528,0.833895846,0.195408835,0.000730028,,,
1.199100586,0.833958395,0.195425454,0.000728249,,,
1.199010645,0.834020952,0.19544307,0.000726493,,,
1.198920704,0.834083519,0.195470643,0.000724713,,,
1.198830762,0.834146096,0.195489051,0.000723321,,,
1.198740821,0.834208682,0.195507944,0.000721996,,,
1.19865088,0.834271277,0.195524821,0.000721123,,,
1.198560938,0.834333882,0.1955461,0.000719922,,,
1.198470997,0.834396496,0.195569535,0.000718114,,,
1.198381056,0.834459119,0.195596924,0.00071743,,,
1.198291114,0.834521752,0.195625958,0.000716076,,,
1.198201173,0.834584394,0.195659671,0.000715221,,,
1.198111232,0.834647046,0.195694015,0.000714092,,,
1.19802129,0.834709707,0.195720228,0.000713286,,,
1.197931349,0.834772377,0.195748459,0.000711708,,,
1.197841407,0.834835057,0.195780574,0.000710423,,,
1.197751466,0.834897747,0.195807584,0.000709631,,,
1.197661525,0.834960445,0.195841045,0.00070902,,,
1.197571583,0.835023153,0.195875995,0.000708185,,,
1.197481642,0.835085871,0.195906436,0.000706891,,,
1.197391701,0.835148598,0.195936063,0.000705673,,,
1.197301759,0.835211334,0.195970395,0.00070445,,,
1.197211818,0.83527408,0.196002411,0.000703589,,,
1.197121877,0.835336835,0.196031942,0.000702572,,,
1.197031935,0.8353996,0.19606517,0.000701398,,,
1.196941994,0.835462374,0.196098742,0.000700693,,,
1.196852053,0.835525158,0.196135272,0.000699124,,,
1.196762111,0.835587951,0.196167167,0.000697986,,,
1.19667217,0.835650753,0.196199471,0.000696805,,,
1.196582229,0.835713565,0.196231012,0.000695492,,,
1.196492287,0.835776386,0.196259453,0.000694346,,,
