infid^{-1},5_Character,5_Cross_Character,Sample#,Variance,Variance(amp),5_Character(amp),5_Cross_Character(amp),unamed1,unamed2
100.810074,0.012095154,0.011995597,10942,0.00018678016,30.370968,1966.7053,1950.5171,(1.8764694-1.8994805e-16j),305119.1
92.26666,0.014437852,0.01431524,10932,0.00022277793,30.344624,1966.5826,1949.8816,(1.8764691-1.7273294e-16j),255594.22
83.73703,0.017529476,0.017384313,10927,0.00027034478,30.330044,1966.6361,1950.3501,(1.876469-1.2407852e-16j),210521.5
76.434135,0.02104047,0.020862373,10921,0.00032430713,30.314552,1966.7543,1950.1067,(1.8764688-9.5772275e-17j),175402.6
71.05226,0.024400882,0.024122534,10925,0.00037542556,30.32492,1970.9761,1948.4927,(1.8764685-5.427214e-17j),151571.34
63.118748,0.030856354,0.030596482,10914,0.0004752525,30.294317,1966.8959,1950.3307,(1.8764682+1.747935e-17j),119612.88
57.424557,0.037276693,0.036968816,10911,0.00057402457,30.286266,1966.7657,1950.5219,(1.8764677+7.294831e-17j),99004.83
52.334923,0.04488004,0.044503342,10908,0.0006909035,30.27754,1966.783,1950.2748,(1.8764672+1.3443247e-16j),82232.625
48.455173,0.052417673,0.05187725,10909,0.00080603606,30.279922,1969.1465,1948.8446,(1.8764669+2.1021407e-16j),70492.22
43.649746,0.064524606,0.06395746,10903,0.0009927831,30.264797,1967.0199,1949.7306,(1.876466+2.7864377e-16j),57203.695
39.566944,0.07854663,0.07784851,10904,0.0012082999,30.26633,1967.4902,1950.0033,(1.8764652+3.7995383e-16j),47002.996
36.057316,0.09456717,0.09373836,10902,0.0014546785,30.260338,1967.1938,1949.9529,(1.876464+5.2169823e-16j),39034.355
32.7483,0.114627406,0.11366352,10901,0.0017634046,30.258644,1966.9167,1950.3772,(1.8764628+5.235057e-16j),32198.637
29.759922,0.13879734,0.13764937,10901,0.002135214,30.256939,1966.8206,1950.5533,(1.8764613+6.466405e-16j),26590.297
27.10304,0.16734332,0.1659586,10900,0.0025741907,30.25497,1966.8191,1950.5442,(1.8764595+8.3737015e-16j),22054.398
24.654394,0.20225161,0.2005615,10900,0.0031108845,30.254677,1966.983,1950.5459,(1.8764573+9.635292e-16j),18249.346
22.42074,0.24455136,0.24254017,10900,0.0037615956,30.25464,1966.9348,1950.7587,(1.8764547+1.0046475e-15j),15092.389
20.82605,0.28366056,0.2808504,10899,0.0043593463,30.252075,1968.4879,1948.9867,(1.8764522+1.0889156e-15j),13021.809
18.740803,0.35006016,0.34693912,10897,0.00538228,30.24563,1967.1571,1949.6184,(1.876448+1.2659029e-15j),10544.668
17.115503,0.41982612,0.41589734,10897,0.0064533646,30.247229,1967.7451,1949.3307,(1.8764437+1.5098789e-15j),8794.981
15.511709,0.5109823,0.5065344,10897,0.007856983,30.247889,1967.1846,1950.061,(1.876438+1.8375169e-15j),7223.9297
14.033452,0.624184,0.6190241,10897,0.009599537,30.24818,1966.8064,1950.5475,(1.8764309+1.8344857e-15j),5912.6416
12.890915,0.73986256,0.733242,10896,0.011374548,30.242771,1967.1545,1949.5516,(1.8764237+1.9420198e-15j),4989.0557
11.626993,0.90934694,0.90179706,10898,0.013984545,30.248451,1966.9097,1950.5793,(1.8764131+2.5621548e-15j),4058.6655
10.621712,1.0897372,1.080379,10897,0.016756149,30.24706,1967.1194,1950.2267,(1.8764018+2.6876989e-15j),3387.1528
9.649254,1.3203746,1.3091904,10897,0.02030353,30.24677,1967.0011,1950.3397,(1.8763874+3.0082646e-15j),2795.3098
8.76723,1.5993295,1.5860875,10897,0.024595242,30.247942,1966.9017,1950.6163,(1.8763698+3.582652e-15j),2307.614
7.9687734,1.9360037,1.920085,10898,0.029773476,30.25049,1967.0214,1950.8475,(1.8763489+3.503402e-15j),1906.4108
7.456991,2.2138336,2.189528,10898,0.033998936,30.24911,1969.6644,1948.0396,(1.8763316+3.4335467e-15j),1669.3864
6.6429977,2.7859125,2.7620175,10896,0.042836074,30.245296,1967.0511,1950.1796,(1.8762956+5.0334933e-15j),1324.7972
6.026693,3.384313,3.356267,10896,0.052044462,30.244932,1966.7476,1950.449,(1.876258+4.5922577e-15j),1090.3618
