infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,partone_crm,partone_thr,parttwo,,0,2,4,6,,0,2,4,6,,1,4,7,,,,1,4,7
1008.30676,22929,1.96E-06,1.988798461,1.949942098,1982472.015,22856194613,1.9847994,1982472.011,3999.067347,,23062064.57,241946.6256,13745.44616,11463.43437,,11450019297,11427199179,11426970978,11426968696,,2316904.694,13747.83087,11444.674,,,,11431256606,11428953449,11428951146
844.6041,22921,2.79E-06,1.988147943,1.949185856,1390463.619,16030847767,1.9847984,1390463.616,3349.500787,,19317962.91,204505.6033,13371.03023,11459.6845,,8033938803,8014825346,8014634211,8014632300,,1942429.566,13373.34998,11444.29376,,,,8017953733,8016024677,8016022748
707.51135,22915,3.97E-06,1.987604154,1.948283483,975256.6916,11243869557,1.9847988,975256.6888,2805.318758,,16181297.7,173138.9535,13057.36602,11456.55014,,5637549412,5621541253,5621381171,5621379570,,1628708.629,13059.63135,11443.98235,,,,5623972077,5622356428,5622354813
592.66693,22910,5.66E-06,1.987148037,1.947206492,683964.3025,7885519233,1.9847987,683964.3001,2349.400524,,13553385,146859.8259,12794.57417,11453.92165,,3955912171,3942505646,3942371580,3942370240,,1365871.767,12796.79391,11443.71893,,,,3944408619,3943055545,3943054191
496.47015,22905,8.06E-06,1.986766835,1.945921289,479635.771,5529787275,1.9847991,479635.769,1967.668251,,11353080.18,124856.78,12574.54599,11451.72365,,2775962212,2764733989,2764621707,2764620584,,1145803.114,12576.72756,11443.50117,,,,2766234569,2765101343,2765100209
415.88498,22902,1.15E-05,1.986446925,1.944387566,336301.9016,3877271231,1.9847991,336301.8999,1647.766685,,9509167.557,106417.6538,12390.15473,11449.87974,,1947941878,1938539128,1938445101,1938444161,,961379.8607,12392.30431,11443.31675,,,,1939730390,1938781403,1938780454
348.37137,22898,1.64E-05,1.986178417,1.942557166,235753.7814,2718038018,1.9847987,235753.78,1379.7631,,7964394.89,90969.92481,12235.67516,11448.33266,,1366837743,1358964318,1358885583,1358884796,,806875.7917,12237.79793,11443.15994,,,,1359915975,1359121337,1359120542
291.82333,22896,2.33E-05,1.985954164,1.940373424,165243.8853,1905119654,1.9847989,165243.8842,1155.314951,,6670675.76,78032.73465,12106.3044,11447.04009,,959124983.6,952532340.6,952466414.2,952465754.9,,677481.4349,12108.40473,11443.0317,,,,953297031.5,952631658.5,952630993.1
244.45537,22894,3.32E-05,1.985765839,1.937768213,115797.9756,1335050909,1.9847986,115797.9747,967.3082047,,5587004.871,67196.02405,11997.93558,11445.95469,,673035090.5,667515281.7,667460083.6,667459531.6,,569095.5439,12000.01711,11442.92158,,,,668132977.3,667575881.8,667575324.7
204.77501,22892,4.74E-05,1.985608601,1.934660391,81125.73207,935309808,1.9847988,81125.73126,809.8149415,,4679213.703,58118.11351,11907.15762,11445.04806,,472276488.3,467655392.7,467609181.8,467608719.7,,478300.6789,11909.2234,11442.83194,,,,468156699,467690307.6,467689841.2
171.53566,22890,6.75E-05,1.985476543,1.930953611,56817.30704,655054607,1.9847987,56817.30637,677.8795336,,3918738.012,50513.35603,11831.10947,11444.287,,331402251.5,327534026.9,327495344.6,327494957.8,,402239.9156,11833.16206,11442.7553,,,,327942568.8,327552162,327551771.6
143.691,22889,9.62E-05,1.985366142,1.926533064,39777.31911,458598224,1.9847988,39777.31855,567.354256,,3281670.312,44142.6796,11767.40328,11443.65051,,232546694,229309166.4,229276791.1,229276467.4,,338522.0937,11769.44481,11442.69216,,,,229643321.2,229316568.5,229316241.8
120.366875,22888,0.000137027,1.985273666,1.921262703,27835.60712,320920572,1.9847989,27835.60664,474.7793525,,2748068.569,38806.66274,11714.04368,11443.11749,,163181064.9,160471803,160444710.4,160444439.4,,285152.6624,11716.07596,11442.63937,,,,160745982.6,160472546,160472272.6
100.82886,22887,0.000195269,1.985195952,1.914980567,19468.56958,224455836,1.9847987,19468.56919,397.2303148,,2301075.914,34336.73505,11669.34326,11442.66934,,114506468.3,112239729.1,112217061.7,112216835.1,,240445.641,11671.36778,11442.59351,,,,112465304.7,112236530.4,112236301.6
84.461685,22886,0.000278272,1.985131142,1.907494272,13607.63788,156884342,1.9847989,13607.63755,332.2643667,,1926612.19,30592.09896,11631.89804,11442.29603,,80349594.63,78453574.54,78434614.33,78434424.73,,202992.7731,11633.91607,11442.55721,,,,78639580.88,78448222.03,78448030.67
70.75173,22886,0.000396555,1.985076742,1.898576771,9503.909378,109571888,1.9847989,9503.9091,277.845236,,1612940.321,27455.38026,11600.53085,11441.98236,,56382031.99,54796547.05,54780692.2,54780533.66,,171620.1442,11602.54344,11442.52584,,,,54950213.74,54790196.14,54790036.12
59.267323,22885,0.000565115,1.985030984,1.887958775,6631.673438,76457482,1.9847987,6631.673205,232.2611413,,1350193.598,24827.91189,11574.25503,11441.71846,,39563717.57,38238351.89,38225098.23,38224965.69,,145340.9125,11576.26305,11442.4984,,,,38365494.57,38231729.93,38231596.16
49.64687,22885,0.000805332,1.984992758,1.875321979,4622.31516,53291312,1.9847987,4622.314966,194.074765,,1130087.325,22626.84916,11552.2444,11441.49835,,27761670.41,26654209.94,26643135.33,26643024.58,,123326.4665,11554.24861,11442.47639,,,,26759529.88,26647757.66,26647645.89
41.588085,22884,0.001147662,1.984960895,1.860292136,3217.503243,37095040,1.9847988,3217.503081,162.0879613,,945715.3893,20783.13037,11533.80778,11441.31456,,19479962.77,18555030.51,18545781.19,18545688.69,,104886.0748,11535.80879,11442.45853,,,,18642348.97,18548998.71,18548905.36
34.837353,22884,0.00163552,1.984934004,1.842428836,2236.047393,25779700,1.9847987,2236.047258,135.2924641,,791266.1426,19238.63734,11518.36228,11441.15953,,13668402.16,12896374.65,12888654.38,12888577.17,,89438.47006,11520.36061,11442.4425,,,,12968808.55,12890890.44,12890812.52
29.182487,22884,0.002330755,1.984911507,1.821217143,1550.980417,17881468,1.9847987,1550.980304,112.8471235,,661891.1994,17944.8879,11505.42479,11441.03016,,9590301.292,8946354.98,8939915.517,8939851.123,,76498.7312,11507.42087,11442.42956,,,,9006457.819,8941466.509,8941401.518
