infid^{-1},Sample#,Variance,Variance(amp),Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty,partone_crm,partone_thr,parttwo,,0,2,4,6,,0,2,4,6,,1,4,7,,1,4,7
1007.39856,22762,1.95E-06,1.974321927,0.24125108,244834.1215,2822726518,0.23625973,244832.3835,1738062.202,,10019929957,100200648,1003354.897,11381.96594,,11431387285,1511657977,1412460684,1411468711,,1001994221,1003354.897,2364.030203,,2413451550,1412460684,1411459693
844.0093,16791,2.04E-06,1.45639967,0.241160708,171791.2237,1980604826,0.23633917,171790.0036,1220060.504,,7033650168,70337850.55,704727.3759,8396.144121,,8024018176,1060705859,991072735.6,990376404.4,,703366243.1,704727.3759,2065.860196,,1693734251,991072735.6,990370074.1
707.1833,12602,2.19E-06,1.093063007,0.24105284,120552.5016,1389866498,0.23645945,120551.645,856603.5521,,4938320841,49384557.97,495195.1365,6301.508207,,5633299711,744363428.2,695474065.4,694985171.7,,493833311,495195.1365,1857.020677,,1188812181,695474065.4,694980727.3
592.41583,9657,2.39E-06,0.837658968,0.240924111,84553.88348,974833440,0.23647998,84553.2823,601178.9898,,3465798240,34659332.07,347942.9947,4829.103961,,3953246549,522107641.2,487796252.1,487453138.3,,346581050.9,347942.9947,1709.886772,,834029360.1,487796252.1,487450019
496.32327,7592,2.67E-06,0.65855667,0.240770471,59310.62767,683800446,0.23654841,59310.20566,422008.2645,,2432879009,24330140.15,244651.4661,3796.579228,,2774800980,366252112.1,342166623.4,341925768.5,,243289128.2,244651.4661,1606.989348,,585211100.1,342166623.4,341923578.9
415.80252,6142,3.08E-06,0.532819579,0.240587145,41595.52829,479560610,0.23659916,41595.23206,296220.414,,1707712051,17078470.86,172135.0628,3071.704844,,1947507200,256873619.7,239967283.9,239798220.5,,170772432.7,172135.0628,1534.765226,,410567581.5,239967283.9,239796683.6
348.33517,5125,3.66E-06,0.444555645,0.240368368,29165.67382,336255095,0.23663677,29165.4659,207918.8677,,1198653637,11987886.93,121229.4382,2562.863251,,1366791183,180125433.6,168258776.1,168140109.6,,119866591.4,121229.4382,1484.076206,,288004138.1,168258776.1,168139030.8
291.8081,4411,4.49E-06,0.382599199,0.240107344,20445.6152,235720331,0.23666282,20445.46926,145936.3787,,841324587.6,8414596.593,85496.68348,2205.684381,,959191353.5,126281362.5,117952262.6,117868971.6,,84133686.68,85496.68348,1448.49348,,202000452.6,117952262.6,117868214.4
244.45892,3909,5.67E-06,0.339136965,0.239795932,14330.24456,165215375,0.2366984,14330.14212,102438.5567,,590559643.9,5906947.36,60420.39421,1955.124555,,673171548.7,88518852.12,82672325.15,82613859.88,,59057192.5,60420.39421,1423.622104,,141669097.3,82672325.15,82613328.38
204.7875,3558,7.36E-06,0.308626538,0.239424443,10040.9633,115763657,0.23672187,10040.8914,71904.66048,,414531732.4,4146668.378,42817.73835,1779.231948,,472416106.6,62031042.6,57927191.96,57886153.45,,41454401.47,42817.73835,1406.154617,,99338775.69,57927191.96,57885780.37
