N_M,Variance,Variance(amp),Sample#,Variance_thrifty,Variance_thrifty(amp),Sample#_thrifty
1,0.5333418682519191,26894.578974940207,19379458,1.9540770053863525,98537.32000588876,71003151
2,0.26675681398535767,13451.620110656522,9692849,1.687491951119791,85094.36114160507,61316542
3,0.1778951292298372,8970.63382256196,6463980,1.5986302663642706,80613.37485351053,58087673
4,0.13346428685207695,6730.140678514679,4849545,1.5541994239865105,78372.88170946324,56473238
5,0.10680578142542081,5385.844792086311,3880884,1.5275409185598543,77028.58582303487,55504577
6,0.08903344447431671,4489.647534467398,3235110,1.5097685816087503,76132.38856541597,54858803
8,0.0668180232854366,3369.400962443758,2427893,1.48755316041987,75012.14199339232,54051586
10,0.053488770572108525,2697.253019229574,1943562,1.474223907706542,74339.99405017814,53567255
13,0.04118484499057492,2076.808763954942,1496488,1.4619199821250084,73719.5497949035,53120181
16,0.03349489150211642,1689.0311044082973,1217067,1.45423002863655,73331.77213535686,52840760
20,0.026830265145452382,1352.9571328012053,974901,1.4475654022798858,72995.69816374977,52598595
26,0.02067830235468558,1042.7350051638896,751364,1.441413439489119,72685.47603611245,52375057
33,0.016328429674345415,823.3860260263934,593308,1.4370635668087788,72466.12705697495,52217001
41,0.01317590870740899,664.4153373135043,478758,1.4339110458418425,72307.15636826206,52102451
53,0.010231573087345725,515.9427129495796,371773,1.4309667102217791,72158.68374389813,51995466
67,0.008129522532723445,409.9436005305588,295393,1.4288646596671568,72052.68463147912,51919086
84,0.006519022915619129,328.7316955224484,236874,1.4272541600500526,71971.47272647101,51860567
106,0.005201666403070982,262.30197966120824,189007,1.4259368035375044,71905.04301060976,51812700
135,0.004121167930152704,207.81619251037293,149746,1.4248563050645862,71850.55722345893,51773439
170,0.0033080544748734313,166.8137035997037,120201,1.4240431916093068,71809.55473454826,51743894
215,0.00265162068871774,133.7120265057083,96349,1.4233867578231512,71776.45305745427,51720042
272,0.002131943941344484,107.50653213962863,77466,1.422867081075778,71750.2475630882,51701159
343,0.0017261915220998035,87.04584616457844,62722,1.4224613286565333,71729.78687711315,51686415
434,0.0014002622730200237,70.61036556308423,50879,1.4221353994074535,71713.35139651164,51674572
548,0.0011446978730537617,57.723140038105754,41593,1.4218798350074873,71700.46417098667,51665286
692,0.000942236754248728,47.51372863955268,34237,1.421677373888682,71690.2547595881,51657930
875,0.0007810969856912359,39.38800949119954,28381,1.4215162341201246,71682.12904043976,51652075
1105,0.0006542666043465757,32.99239363850866,23773,1.42138940373878,71675.73342458706,51647466
1396,0.0005536867306394495,27.92049976006274,20118,1.421288823865073,71670.66153070862,51643811
1763,0.0004741817882988605,23.911341510991893,17229,1.4212093189227324,71666.65237245956,51640922
2227,0.0004111715322372454,20.733953031376284,14940,1.4211463086666707,71663.47498397993,51638633
2813,0.0003612976173149453,18.218984633969914,13128,1.4210964347517483,71660.96001558252,51636821
3554,0.0003217794454515908,16.22622041013772,11692,1.421056916579885,71658.9672513587,51635385
4489,0.00029053229810858467,14.650535240862531,10556,1.421025669432542,71657.39156618943,51634249
5670,0.00026579324763805894,13.40303080468293,9657,1.4210009303820714,71656.14406175324,51633350
7162,0.0002462040232549262,12.415214221003177,8946,1.4209813411576884,71655.15624516956,51632639
9047,0.00023069307886400915,11.633051140004662,8382,1.4209658302132975,71654.37408208856,51632075
11428,0.00021841443602874818,11.013881805858126,7936,1.420953551570462,71653.75491275442,51631629
14435,0.00020869564595475044,10.523796960198615,7583,1.4209438327803883,71653.26482790876,51631276
18233,0.0002010017584240079,10.135820920556206,7303,1.4209361388928574,71652.8768518691,51630996
23031,0.00019490982554510388,9.828625892986514,7082,1.4209300469599786,71652.56965684154,51630775
29091,0.00019008738400311064,9.585446906629667,6906,1.4209252245184365,71652.32647785518,51630600
36746,0.000186269328237623,9.392915608360896,6768,1.4209214064626712,71652.13394655693,51630461
46415,0.00018324674041711784,9.240496997173087,6658,1.4209183838748505,71651.98152794573,51630351
58629,0.0001808536843855051,9.119823488744784,6571,1.420915990818819,71651.8608544373,51630264
74056,0.00017895927195240557,9.024294845999941,6502,1.4209140964063858,71651.76532579455,51630195
93543,0.00017745945163069008,8.94866411364659,6448,1.420912596586064,71651.6896950622,51630141
118158,0.00017627206758796736,8.88878845825269,6405,1.4209114092020214,71651.62981940681,51630098
149249,0.0001753320717669994,8.84138773209932,6370,1.4209104692062005,71651.58241868066,51630063
188522,0.0001745878773588099,8.80386059148806,6343,1.4209097250117924,71651.54489154005,51630036
238128,0.00017399872516480112,8.774151691524962,6322,1.4209091358595982,71651.51518264008,51630015
300788,0.00017353229652052624,8.750631314152864,6305,1.420908669430954,71651.49166226272,51629998
379935,0.00017316303807067505,8.732010892369296,6292,1.420908300172504,71651.47304184093,51629985
479909,0.00017287070047929305,8.717269322455543,6281,1.4209080078349128,71651.45830027101,51629974
606189,0.00017263926314384792,8.705598741039763,6273,1.4209077763975773,71651.4466296896,51629966
765698,0.0001724560378522279,8.69635932563097,6266,1.4209075931722857,71651.4373902742,51629959
